t,ax,ay,az
2.79,54.190200000000004,-38.0796,35.150400000000005
2.8000000000000003,54.6784,-39.056000000000004,36.1268
2.81,54.6784,-38.5678,35.150400000000005
2.82,54.190200000000004,-38.0796,35.150400000000005
2.83,55.1666,-38.5678,35.638600000000004
2.84,54.6784,-37.5914,34.6622
2.85,55.1666,-39.056000000000004,35.638600000000004
2.86,53.702000000000005,-38.5678,35.638600000000004
2.87,53.702000000000005,-37.5914,36.1268
2.88,54.190200000000004,-38.0796,35.150400000000005
2.89,54.190200000000004,-37.5914,35.638600000000004
2.9,54.190200000000004,-37.1032,35.638600000000004
2.91,53.2138,-38.0796,35.638600000000004
2.92,54.190200000000004,-37.1032,33.6858
2.93,53.702000000000005,-37.5914,34.6622
2.94,54.190200000000004,-36.615,34.6622
2.95,53.702000000000005,-36.1268,33.6858
2.96,53.702000000000005,-36.615,33.1976
2.97,53.2138,-37.5914,33.6858
2.98,53.2138,-37.1032,32.7094
2.99,52.7256,-37.1032,33.1976
3.0,51.7492,-37.5914,34.174
3.0100000000000002,50.772800000000004,-36.1268,32.2212
3.02,49.796400000000006,-35.150400000000005,30.756600000000002
3.0300000000000002,47.3554,-34.6622,29.292
3.04,44.9144,-33.6858,28.803800000000003
3.0500000000000003,43.4498,-32.7094,27.8274
3.06,41.9852,-31.733,27.3392
3.0700000000000003,40.5206,-29.292,26.3628
3.08,39.056000000000004,-28.803800000000003,24.41
3.09,37.1032,-27.8274,23.433600000000002
3.1,35.150400000000005,-27.8274,22.9454
3.11,34.174,-26.851000000000003,21.969
3.12,31.733,-25.8746,20.5044
3.13,29.7802,-24.41,19.528000000000002
3.14,28.3156,-24.41,18.5516
3.15,25.8746,-22.4572,17.575200000000002
3.16,25.386400000000002,-20.9926,16.1106
3.17,22.4572,-21.480800000000002,15.1342
3.18,21.969,-20.0162,14.1578
3.19,20.5044,-18.0634,11.716800000000001
3.2,19.528000000000002,-17.575200000000002,11.2286
3.21,18.0634,-16.5988,10.740400000000001
3.22,16.1106,-16.5988,9.2758
3.23,14.1578,-15.1342,8.787600000000001
3.24,12.693200000000001,-13.6696,7.8112
3.25,11.2286,-12.693200000000001,5.8584000000000005
3.2600000000000002,10.2522,-10.2522,4.882000000000001
3.27,6.8348,-10.740400000000001,2.9292000000000002
3.2800000000000002,6.3466000000000005,-9.764000000000001,2.9292000000000002
3.29,4.882000000000001,-8.2994,0.4882
3.3000000000000003,3.9056,-6.3466000000000005,-0.9764
3.31,2.9292000000000002,-7.323,-1.4646000000000001
3.3200000000000003,1.4646000000000001,-6.8348,-1.4646000000000001
3.33,0.9764,-6.8348,-1.9528
3.34,-0.4882,-6.8348,-3.4174
3.35,-1.4646000000000001,-6.3466000000000005,-2.4410000000000003
3.36,-1.4646000000000001,-6.3466000000000005,-3.4174
3.37,-2.9292000000000002,-4.393800000000001,-3.4174
3.38,-4.393800000000001,-5.3702000000000005,-3.9056
3.39,-4.393800000000001,-3.9056,-4.393800000000001
3.4,-5.8584000000000005,-3.4174,-5.3702000000000005
3.41,-5.3702000000000005,-3.4174,-4.393800000000001
3.42,-5.8584000000000005,-3.4174,-4.882000000000001
3.43,-6.8348,-3.4174,-4.882000000000001
3.44,-6.8348,-3.4174,-5.3702000000000005
3.45,-6.8348,-3.4174,-5.8584000000000005
3.46,-7.323,-3.4174,-4.882000000000001
3.47,-8.787600000000001,-2.4410000000000003,-5.3702000000000005
3.48,-7.8112,-2.4410000000000003,-5.3702000000000005
3.49,-7.8112,-1.4646000000000001,-5.3702000000000005
3.5,-8.2994,-1.4646000000000001,-6.8348
3.5100000000000002,-8.787600000000001,-0.4882,-6.8348
3.52,-7.8112,-1.4646000000000001,-7.323
3.5300000000000002,-10.2522,-0.4882,-7.323
3.54,-8.787600000000001,-0.4882,-7.323
3.5500000000000003,-9.2758,-0.4882,-7.8112
3.56,-9.764000000000001,0.0,-7.323
3.5700000000000003,-9.2758,0.0,-8.2994
3.58,-10.2522,-0.4882,-8.2994
3.59,-10.2522,0.4882,-8.2994
3.6,-10.740400000000001,0.0,-8.787600000000001
3.61,-10.2522,0.0,-8.787600000000001
3.62,-10.2522,0.9764,-9.764000000000001
3.63,-11.716800000000001,0.9764,-10.2522
3.64,-11.2286,0.9764,-9.764000000000001
3.65,-11.716800000000001,1.4646000000000001,-11.716800000000001
3.66,-12.693200000000001,0.9764,-10.2522
3.67,-13.6696,1.4646000000000001,-10.2522
3.68,-13.6696,0.4882,-11.2286
3.69,-13.6696,1.4646000000000001,-10.2522
3.7,-14.1578,0.4882,-11.2286
3.71,-13.6696,0.4882,-11.716800000000001
3.72,-15.6224,1.4646000000000001,-10.740400000000001
3.73,-14.646,1.9528,-11.2286
3.74,-15.6224,1.4646000000000001,-11.2286
3.75,-15.6224,2.4410000000000003,-12.205
3.7600000000000002,-16.5988,1.9528,-11.716800000000001
3.77,-16.5988,2.9292000000000002,-12.205
3.7800000000000002,-16.5988,3.4174,-11.2286
3.79,-16.1106,2.4410000000000003,-11.716800000000001
3.8000000000000003,-17.575200000000002,3.9056,-12.693200000000001
3.81,-17.087,3.9056,-11.716800000000001
3.8200000000000003,-17.575200000000002,3.9056,-12.205
3.83,-18.5516,3.9056,-13.1814
3.84,-18.0634,4.393800000000001,-13.1814
3.85,-18.0634,5.3702000000000005,-13.6696
3.86,-18.5516,5.3702000000000005,-14.1578
3.87,-18.5516,4.882000000000001,-14.1578
3.88,-18.0634,4.882000000000001,-14.1578
3.89,-19.528000000000002,4.393800000000001,-14.646
3.9,-69.8126,69.8126,-69.8126
3.91,-19.528000000000002,4.882000000000001,-14.646
3.92,-19.528000000000002,4.882000000000001,-15.6224
3.93,-20.0162,4.882000000000001,-15.6224
3.94,-19.0398,4.882000000000001,-14.646
3.95,-18.5516,4.393800000000001,-15.6224
3.96,-18.5516,4.882000000000001,-14.1578
3.97,-19.0398,3.9056,-14.646
3.98,-19.528000000000002,4.393800000000001,-15.1342
3.99,-19.528000000000002,4.882000000000001,-14.646
4.0,-18.5516,3.4174,-15.6224
4.01,-18.5516,3.9056,-15.1342
4.0200000000000005,-19.0398,3.4174,-15.6224
4.03,-20.5044,4.393800000000001,-14.1578
4.04,-20.0162,3.9056,-14.646
4.05,-19.528000000000002,3.4174,-13.6696
4.0600000000000005,-19.0398,3.4174,-14.1578
4.07,-20.0162,4.393800000000001,-14.1578
4.08,-19.0398,4.393800000000001,-13.6696
4.09,-20.0162,4.882000000000001,-14.1578
4.1,-19.0398,3.9056,-13.6696
4.11,-19.528000000000002,4.393800000000001,-13.6696
4.12,-19.528000000000002,4.393800000000001,-13.6696
4.13,-19.528000000000002,4.393800000000001,-13.1814
4.14,-19.528000000000002,4.882000000000001,-13.1814
4.15,-19.528000000000002,3.9056,-13.6696
4.16,-20.0162,4.882000000000001,-14.646
4.17,-19.0398,4.393800000000001,-14.1578
4.18,-18.5516,5.3702000000000005,-13.1814
4.19,-20.5044,4.882000000000001,-14.646
4.2,-19.528000000000002,4.882000000000001,-14.1578
4.21,-19.0398,4.882000000000001,-14.646
4.22,-18.5516,4.393800000000001,-14.1578
4.23,-18.5516,4.393800000000001,-14.1578
4.24,-19.0398,3.9056,-14.646
4.25,-19.0398,4.882000000000001,-14.646
4.26,-19.0398,4.882000000000001,-14.1578
4.2700000000000005,-19.0398,4.882000000000001,-13.6696
4.28,-18.5516,4.393800000000001,-14.1578
4.29,-19.0398,2.9292000000000002,-14.1578
4.3,-19.0398,5.3702000000000005,-14.1578
4.3100000000000005,-18.0634,3.9056,-13.6696
4.32,-17.575200000000002,3.9056,-14.1578
4.33,-18.5516,3.9056,-13.6696
4.34,-19.0398,3.9056,-13.6696
4.3500000000000005,-19.0398,4.393800000000001,-14.1578
4.36,-19.0398,4.393800000000001,-14.1578
4.37,-19.528000000000002,2.9292000000000002,-13.1814
4.38,-19.0398,3.4174,-13.6696
4.39,-19.0398,3.4174,-14.1578
4.4,-19.0398,4.393800000000001,-14.1578
4.41,-19.528000000000002,3.9056,-13.6696
